[2025-05-20 15:03:20] [INFO] [common.py:76] <module>: Initializing the common module.
[2025-05-20 15:03:21] [INFO] [project.py:35] <module>: Loading libclang from "C:/Program Files/LLVM/lib/libclang.lib".
[2025-05-20 15:03:21] [ERROR] [project.py:47] <module>: Failed to load libclang with the error: LibclangError('[WinError 193] %1 is not a valid Win32 application. To provide a path to libclang use Config.set_library_path() or Config.set_library_file().')
[2025-05-20 15:03:22] [INFO] [project.py:131] get_project_list_from_config: Loading the project "Glibc" (glibc) with the following configurations: {'short_name': 'glibc', 'database_id': 5, 'database_name': 'glibc', 'github_data_name': 'glibc', 'vendor_id': [72], 'product_id': [767], 'url_pattern': 'sourceware', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': 'C:/Users/ramya/Documents/university/SD project/Glibc project/glibc/', 'output_directory_path': 'C:/Users/ramya/Documents/university/2 ano/Database project/CVEDetailsScrape/Output', 'scrape_all_branches': False, 'output_directory_diff_path': 'C:/Users/ramya/Documents/university/2 ano/Database project/CVEDetailsScrape/Output/diff_between_files'}
[2025-05-20 15:03:22] [ERROR] [project.py:95] __init__: Failed to get the repository for the project "Glibc"" with the error: NoSuchPathError('C:\\Users\\ramya\\Documents\\university\\SD project\\Glibc project\\glibc')
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Linux Kernel" (kernel).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "MongoDB" (mongodb).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "MySQL" (mysql).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "PostgreSQL" (postgresql).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Elastic" (elastic).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Redis" (redis).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Apache Cassandra" (apache_cassandra).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "SQLite" (sqlite).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Neo4j" (neo4j).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Djangoproject" (django).
[2025-05-20 15:03:22] [INFO] [project.py:663] scrape_vulnerabilities_from_cve_details: Collecting the vulnerabilities for the "Glibc" project (72, 767):
[2025-05-20 15:03:26] [INFO] [project.py:696] scrape_vulnerabilities_from_cve_details: Scraping hub page 1 of 1...
[2025-05-20 15:03:26] [INFO] [project.py:697] scrape_vulnerabilities_from_cve_details: https://www.cvedetails.com/vulnerability-list.php?vendor_id=72&product_id=767
[2025-05-20 15:03:29] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 1 of 25: "CVE-2025-0395" from "https://www.cvedetails.com/cve/CVE-2025-0395"...
[2025-05-20 15:03:30] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 2 of 25: "CVE-2023-25139" from "https://www.cvedetails.com/cve/CVE-2023-25139"...
[2025-05-20 15:03:31] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 3 of 25: "CVE-2023-6780" from "https://www.cvedetails.com/cve/CVE-2023-6780"...
[2025-05-20 15:03:34] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 4 of 25: "CVE-2023-6779" from "https://www.cvedetails.com/cve/CVE-2023-6779"...
[2025-05-20 15:03:38] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 5 of 25: "CVE-2023-6246" from "https://www.cvedetails.com/cve/CVE-2023-6246"...
[2025-05-20 15:03:39] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 6 of 25: "CVE-2023-5156" from "https://www.cvedetails.com/cve/CVE-2023-5156"...
[2025-05-20 15:03:41] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commitdiff;h=ec6b95c3303c700eb89eebeda2d7264cc184a796".
[2025-05-20 15:03:41] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 7 of 25: "CVE-2023-4911" from "https://www.cvedetails.com/cve/CVE-2023-4911"...
[2025-05-20 15:03:44] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 8 of 25: "CVE-2023-4813" from "https://www.cvedetails.com/cve/CVE-2023-4813"...
[2025-05-20 15:03:46] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 9 of 25: "CVE-2023-4806" from "https://www.cvedetails.com/cve/CVE-2023-4806"...
[2025-05-20 15:03:48] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 10 of 25: "CVE-2023-4527" from "https://www.cvedetails.com/cve/CVE-2023-4527"...
[2025-05-20 15:03:51] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 11 of 25: "CVE-2023-0687" from "https://www.cvedetails.com/cve/CVE-2023-0687"...
[2025-05-20 15:03:53] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 12 of 25: "CVE-2022-39046" from "https://www.cvedetails.com/cve/CVE-2022-39046"...
[2025-05-20 15:03:54] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 13 of 25: "CVE-2022-23219" from "https://www.cvedetails.com/cve/CVE-2022-23219"...
[2025-05-20 15:03:56] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 14 of 25: "CVE-2022-23218" from "https://www.cvedetails.com/cve/CVE-2022-23218"...
