[2025-06-05 15:27:53] [INFO] [common.py:76] <module>: Initializing the common module.
[2025-06-05 15:27:54] [INFO] [project.py:35] <module>: Loading libclang from "C:\Program Files\LLVM\bin\libclang.dll".
[2025-06-05 15:27:54] [ERROR] [project.py:47] <module>: Failed to load libclang with the error: LibclangError("Could not find module 'C:\\Program Files\\LLVM\\bin\\libclang.dll\\libclang.dll' (or one of its dependencies). Try using the full path with constructor syntax.. To provide a path to libclang use Config.set_library_path() or Config.set_library_file().")
[2025-06-05 15:27:55] [INFO] [project.py:132] get_project_list_from_config: Loading the project "Glibc" (glibc) with the following configurations: {'short_name': 'glibc', 'database_id': 5, 'database_name': 'glibc', 'github_data_name': 'glibc', 'vendor_id': [72], 'product_id': [767], 'url_pattern': 'sourceware', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': 'H:/Documents/my things/University/2 ano/glibc', 'output_directory_path': 'H:/Documents/my things/University/2 ano/CVEDetailsScrape/ouput folder', 'scrape_all_branches': False, 'output_directory_diff_path': 'C:/Users/ramya/Documents/university/2 ano/Database project/CVEDetailsScrape/Output/diff_between_files'}
[2025-06-05 15:27:55] [ERROR] [project.py:96] __init__: Failed to get the repository for the project "Glibc"" with the error: NoSuchPathError('C:\\Users\\ramya\\Documents\\university\\2 ano\\Database project\\Glibc\\glibc')
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Linux Kernel" (kernel).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "MongoDB" (mongodb).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "MySQL" (mysql).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "PostgreSQL" (postgresql).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Elastic" (elastic).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Redis" (redis).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Apache Cassandra" (apache_cassandra).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "SQLite" (sqlite).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Neo4j" (neo4j).
[2025-06-05 15:27:55] [INFO] [project.py:124] get_project_list_from_config: Ignoring the project "Djangoproject" (django).
[2025-06-05 15:27:55] [INFO] [project.py:664] scrape_vulnerabilities_from_cve_details: Collecting the vulnerabilities for the "Glibc" project (72, 767):
[2025-06-05 15:27:59] [INFO] [project.py:697] scrape_vulnerabilities_from_cve_details: Scraping hub page 1 of 1...
[2025-06-05 15:27:59] [INFO] [project.py:698] scrape_vulnerabilities_from_cve_details: https://www.cvedetails.com/vulnerability-list.php?vendor_id=72&product_id=767
[2025-06-05 15:28:01] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 1 of 25: "CVE-2025-0395" from "https://www.cvedetails.com/cve/CVE-2025-0395"...
[2025-06-05 15:28:04] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 2 of 25: "CVE-2023-25139" from "https://www.cvedetails.com/cve/CVE-2023-25139"...
[2025-06-05 15:28:06] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 3 of 25: "CVE-2023-6780" from "https://www.cvedetails.com/cve/CVE-2023-6780"...
[2025-06-05 15:28:08] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 4 of 25: "CVE-2023-6779" from "https://www.cvedetails.com/cve/CVE-2023-6779"...
[2025-06-05 15:28:10] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 5 of 25: "CVE-2023-6246" from "https://www.cvedetails.com/cve/CVE-2023-6246"...
[2025-06-05 15:28:12] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 6 of 25: "CVE-2023-5156" from "https://www.cvedetails.com/cve/CVE-2023-5156"...
[2025-06-05 15:28:15] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commitdiff;h=ec6b95c3303c700eb89eebeda2d7264cc184a796".
[2025-06-05 15:28:15] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 7 of 25: "CVE-2023-4911" from "https://www.cvedetails.com/cve/CVE-2023-4911"...
[2025-06-05 15:28:18] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 8 of 25: "CVE-2023-4813" from "https://www.cvedetails.com/cve/CVE-2023-4813"...
[2025-06-05 15:28:20] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 9 of 25: "CVE-2023-4806" from "https://www.cvedetails.com/cve/CVE-2023-4806"...
[2025-06-05 15:28:22] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 10 of 25: "CVE-2023-4527" from "https://www.cvedetails.com/cve/CVE-2023-4527"...
[2025-06-05 15:28:25] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 11 of 25: "CVE-2023-0687" from "https://www.cvedetails.com/cve/CVE-2023-0687"...
[2025-06-05 15:28:27] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 12 of 25: "CVE-2022-39046" from "https://www.cvedetails.com/cve/CVE-2022-39046"...
[2025-06-05 15:28:30] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 13 of 25: "CVE-2022-23219" from "https://www.cvedetails.com/cve/CVE-2022-23219"...
[2025-06-05 15:28:33] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 14 of 25: "CVE-2022-23218" from "https://www.cvedetails.com/cve/CVE-2022-23218"...
[2025-06-05 15:28:35] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 15 of 25: "CVE-2021-43396" from "https://www.cvedetails.com/cve/CVE-2021-43396"...
[2025-06-05 15:28:37] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=ff012870b2c02a62598c04daa1e54632e020fd7d".
[2025-06-05 15:28:37] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=ff012870b2c02a62598c04daa1e54632e020fd7d".
[2025-06-05 15:28:37] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 16 of 25: "CVE-2021-38604" from "https://www.cvedetails.com/cve/CVE-2021-38604"...
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=b805aebd42364fe696e417808a700fdb9800c9e8".
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=b805aebd42364fe696e417808a700fdb9800c9e8".
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=4cc79c217744743077bf7a0ec5e0a4318f1e6641".
[2025-06-05 15:28:40] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=4cc79c217744743077bf7a0ec5e0a4318f1e6641".
[2025-06-05 15:28:40] [INFO] [project.py:724] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 17 of 25: "CVE-2021-35942" from "https://www.cvedetails.com/cve/CVE-2021-35942"...
[2025-06-05 15:28:42] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=5adda61f62b77384718b4c0d8336ade8f2b4b35c".
